Employment,EdLevel,YearsCodePro,ExperienceRange,JobSat,JobSatPoints_1,RemoteWork,Country,LanguageHaveWorkedWith
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,10–20,8.0,0.0,"Hybrid (some remote, some in-person)",United States of America,Bash/Shell (all shells);C#;JavaScript;PowerShell;VBA
"Employed, full-time",Some college/university study without earning a degree,27.0,20+,5.0,0.0,"Hybrid (some remote, some in-person)",Switzerland,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript;VBA;Visual Basic (.Net)
"Employed, full-time",Some college/university study without earning a degree,10.0,5–10,10.0,10.0,"Hybrid (some remote, some in-person)",Germany,C#;HTML/CSS;JavaScript;PHP;Python;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18.0,10–20,9.0,30.0,Remote,Ireland,Bash/Shell (all shells);C#;F#;JavaScript;PowerShell;SQL
"Employed, full-time;Student, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15.0,10–20,4.0,10.0,Remote,Italy,Clojure;Java;JavaScript;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",17.0,10–20,7.0,0.0,Remote,Italy,C#;HTML/CSS;JavaScript;Python;Scala;SQL
"Employed, full-time;Independent contractor, freelancer, or self-employed","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",6.0,5–10,7.0,0.0,Remote,Ukraine,Bash/Shell (all shells);Lua;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.0,5–10,7.0,0.0,"Hybrid (some remote, some in-person)",United States of America,Bash/Shell (all shells);Go;HTML/CSS;Python;Scala;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16.0,10–20,6.0,20.0,"Hybrid (some remote, some in-person)",Japan,Bash/Shell (all shells);Python
"Employed, full-time",Some college/university study without earning a degree,6.0,5–10,7.0,5.0,Remote,United States of America,Bash/Shell (all shells);C#;C++;HTML/CSS;PowerShell;Python;SQL;VBA
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.0,5–10,7.0,0.0,Remote,Brazil,HTML/CSS;JavaScript;Ruby;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,10–20,7.0,30.0,Remote,Italy,Bash/Shell (all shells);C++;Python
"Employed, full-time;Student, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14.0,10–20,9.0,0.0,In-person,Austria,Assembly;C#;C++;HTML/CSS;JavaScript;MATLAB;Python;SQL;VBA
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.0,5–10,9.0,10.0,"Hybrid (some remote, some in-person)",Romania,C#;HTML/CSS;JavaScript;SQL;TypeScript
"Employed, full-time;Student, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.0,0–5,7.0,7.0,Remote,United Kingdom of Great Britain and Northern Ireland,C#;Dart;Fortran;Go;Julia;Python;SQL;VBA
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15.0,10–20,6.0,0.0,"Hybrid (some remote, some in-person)",United States of America,C;C++
"Employed, full-time",Some college/university study without earning a degree,4.0,0–5,3.0,0.0,Remote,Germany,Java;JavaScript;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.0,5–10,3.0,20.0,In-person,Bulgaria,C#;HTML/CSS;JavaScript;SQL
"Employed, full-time",Some college/university study without earning a degree,8.0,5–10,7.0,40.0,"Hybrid (some remote, some in-person)",United Kingdom of Great Britain and Northern Ireland,C++;HTML/CSS;JavaScript;Kotlin;Lua;PowerShell;Python;SQL;TypeScript
"Employed, full-time",Some college/university study without earning a degree,2.0,0–5,6.0,10.0,Remote,Turkey,Python
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",29.0,20+,7.0,0.0,"Hybrid (some remote, some in-person)",Switzerland,C#;JavaScript;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.0,0–5,9.0,0.0,"Hybrid (some remote, some in-person)",Bulgaria,PowerShell;Ruby
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.0,5–10,9.0,0.0,Remote,Croatia,C#;HTML/CSS;JavaScript;SQL;Visual Basic (.Net)
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",30.0,20+,7.0,0.0,"Hybrid (some remote, some in-person)",Sweden,C#;PowerShell;SQL
"Employed, full-time;Student, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",1.0,0–5,10.0,90.0,"Hybrid (some remote, some in-person)",Pakistan,Assembly;Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Python;R;SQL;TypeScript
"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",10.0,5–10,9.0,,In-person,Czech Republic,C++;Python;R
