Employment,EdLevel,YearsCodePro,JobSat,RemoteWork,Country,LanguageHaveWorkedWith,LanguageWantToWorkWith
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,8.0,"Hybrid (some remote, some in-person)",United States of America,Bash/Shell (all shells);C#;JavaScript;PowerShell;VBA,Bash/Shell (all shells);JavaScript;VBA
"Employed, full-time",Some college/university study without earning a degree,27,5.0,"Hybrid (some remote, some in-person)",Switzerland,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript;VBA;Visual Basic (.Net),C#;SQL
"Employed, full-time",Some college/university study without earning a degree,10,10.0,"Hybrid (some remote, some in-person)",Germany,C#;HTML/CSS;JavaScript;PHP;Python;SQL,C#;HTML/CSS;JavaScript;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Less than 1 year,6.0,"Hybrid (some remote, some in-person)",Germany,Bash/Shell (all shells);HTML/CSS;PHP;Python;SQL;VBA,C++;Java;JavaScript;PHP;PowerShell;Python;R;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18,9.0,Remote,Ireland,Bash/Shell (all shells);C#;F#;JavaScript;PowerShell;SQL,Bash/Shell (all shells);C#;F#;Go
"Employed, full-time;Student, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15,4.0,Remote,Italy,Clojure;Java;JavaScript;SQL,Clojure;Julia;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",17,7.0,Remote,Italy,C#;HTML/CSS;JavaScript;Python;Scala;SQL,C#;JavaScript;Python;Scala;SQL
"Employed, full-time;Independent contractor, freelancer, or self-employed","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",6,7.0,Remote,Ukraine,Bash/Shell (all shells);Lua;TypeScript,Bash/Shell (all shells);Lua;Rust;TypeScript;Zig
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,7.0,"Hybrid (some remote, some in-person)",United States of America,Bash/Shell (all shells);Go;HTML/CSS;Python;Scala;SQL,Bash/Shell (all shells);Go;Python;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16,6.0,"Hybrid (some remote, some in-person)",Japan,Bash/Shell (all shells);Python,Bash/Shell (all shells);Go;Python;TypeScript
"Employed, full-time",Some college/university study without earning a degree,6,7.0,Remote,United States of America,Bash/Shell (all shells);C#;C++;HTML/CSS;PowerShell;Python;SQL;VBA,Bash/Shell (all shells);C#;HTML/CSS;Python;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,7.0,Remote,Brazil,HTML/CSS;JavaScript;Ruby;SQL,Elixir;Go;HTML/CSS;Ruby;Rust;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12,7.0,Remote,Italy,Bash/Shell (all shells);C++;Python,Go
